City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,margaret river,-33.95,115.0667,9.33,83,2,4.37,AU,1693433501
83,sinabang,2.4803,96.3801,26.08,86,97,1.43,ID,1693432904
84,kittila,67.6647,24.8936,11.08,100,0,0.51,FI,1693433501
85,callao,-12.0667,-77.15,22.62,73,100,5.14,PE,1693433501
86,georgetown,5.4112,100.3354,26.96,89,20,0.0,MY,1693433485
87,vorsma,55.9856,43.2717,9.91,83,10,1.3,RU,1693433501
88,puerto ayora,-0.7393,-90.3518,29.98,91,87,5.36,EC,1693433501
89,thompson,55.7435,-97.8558,22.09,64,40,2.06,CA,1693433501
90,fort st. john,56.2499,-120.8529,27.83,27,100,3.93,CA,1693433239
91,port augusta,-32.5,137.7667,11.57,76,100,2.11,AU,1693433502
92,rongelap,11.1635,166.8941,28.45,79,100,6.89,MH,1693433502
93,port elizabeth,-33.918,25.5701,20.58,39,0,3.21,ZA,1693433395
94,aasiaat,68.7098,-52.8699,2.89,92,100,5.24,GL,1693433505
95,singkil,-7.9855,111.4161,20.74,92,95,1.9,ID,1693433505
96,ribeira grande,38.5167,-28.7,23.76,88,31,2.68,PT,1693433506
97,menongue,-14.6585,17.691,13.95,24,0,2.17,AO,1693433242
98,murzuq,25.9155,13.9184,33.25,27,12,7.61,LY,1693433506
99,utrik,11.2278,169.8474,28.54,77,36,6.88,MH,1693433506
100,afaahiti,-17.75,-149.2833,25.93,79,93,5.91,PF,1693433506
101,mount isa,-20.7333,139.5,16.87,45,0,6.69,AU,1693433506
102,la passe,45.5549,-0.8967,16.66,70,49,4.26,FR,1693433506
103,saint-louis,16.3333,-15.0,30.45,60,100,6.66,SN,1693433507
104,awka,6.2101,7.0741,22.95,96,96,2.23,NG,1693433507
105,champoton,19.35,-90.7167,30.67,67,24,4.45,MX,1693433507
106,mao,39.8885,4.2658,22.31,78,20,2.06,ES,1693433390
107,dudinka,69.4058,86.1778,4.79,72,6,6.83,RU,1693432913
108,tweed heads,-28.1817,153.547,18.89,93,93,1.03,AU,1693433507
109,petropavlovsk-kamchatsky,53.0452,158.6483,13.33,82,0,1.0,RU,1693432946
110,nizhnyaya tavda,57.6731,66.1725,9.6,97,100,1.74,RU,1693433508
111,lorengau,-2.0226,147.2712,27.98,79,77,3.94,PG,1693432909
112,severo-yeniseyskiy,60.3725,93.0408,8.6,86,4,0.4,RU,1693433508
113,heihe,50.2441,127.4902,14.32,99,100,2.46,CN,1693433508
114,sisimiut,66.9395,-53.6735,3.71,90,100,4.59,GL,1693433508
115,ebon,4.582,168.6964,28.8,74,93,3.88,MH,1693433508
116,klaksvik,62.2266,-6.589,9.51,78,100,3.85,FO,1693433509
117,nizhnesortymskiy,62.4397,71.7603,13.2,83,97,8.5,RU,1693433509
118,wewak,-3.5534,143.6268,26.02,89,43,2.79,PG,1693433509
119,hasaki,35.7333,140.8333,27.39,82,100,4.86,JP,1693432962
120,nepomuceno,-21.2358,-45.2358,22.46,52,85,1.38,BR,1693433284
121,aioun,16.6614,-9.6149,33.07,44,5,2.68,MR,1693433509
122,vila velha,-20.3297,-40.2925,23.97,92,100,2.06,BR,1693433509
123,howrah,22.5892,88.3103,30.0,89,40,0.0,IN,1693433510
124,tura,25.5198,90.2201,24.47,77,2,1.25,IN,1693433221
125,kuanda,56.3161,116.0806,13.51,66,0,0.43,RU,1693433510
126,sosnytsya,51.5239,32.4999,20.16,47,4,3.89,UA,1693433510
127,moyale,3.5167,39.0584,21.72,55,93,4.58,KE,1693433510
128,tadepallegudem,16.8333,81.5,25.78,77,88,1.32,IN,1693433298
129,hailar,49.2,119.7,12.35,85,100,2.01,CN,1693433510
130,zouerate,22.7187,-12.4521,36.13,30,94,4.24,MR,1693433510
131,puerto baquerizo moreno,-0.9,-89.6,26.55,74,40,6.69,EC,1693433511
132,qom,34.6401,50.8764,25.49,38,2,2.89,IR,1693433511
133,kayangel,8.0823,134.7173,28.23,82,67,5.93,PW,1693433511
134,kirakira,-10.4544,161.9205,26.43,86,100,1.54,SB,1693433511
135,tolanaro,-25.0319,46.9987,19.94,75,91,5.75,MG,1693433511
136,vorgashor,67.5833,63.95,6.89,80,44,2.21,RU,1693433511
137,waingapu,-9.6567,120.2641,22.07,82,36,3.84,ID,1693433511
138,vryburg,-26.9566,24.7284,12.52,42,0,4.17,ZA,1693433512
139,dzilam gonzalez,21.2833,-88.9333,30.52,66,78,3.44,MX,1693433512
140,great falls,47.5002,-111.3008,22.66,32,0,13.38,US,1693433512
141,tiksi,71.6872,128.8694,1.17,73,94,7.53,RU,1693433512
142,chachersk,52.9164,30.9179,21.12,60,15,4.41,BY,1693433512
143,inarajan village,13.2736,144.7484,27.08,96,100,6.05,GU,1693433512
144,oodweyne,9.4092,45.064,23.05,57,21,6.61,SO,1693433513
145,alliance,40.9153,-81.1059,17.58,78,77,4.25,US,1693433283
146,cabo san lucas,22.8909,-109.9124,34.78,72,20,5.66,MX,1693433156
147,kerikeri,-35.2268,173.9474,12.17,91,3,1.54,NZ,1693432935
148,isafjordur,66.0755,-23.124,10.64,79,100,0.86,IS,1693433513
149,worgl,47.4833,12.0667,13.9,95,97,1.42,AT,1693433513
150,luderitz,-26.6481,15.1594,16.41,77,24,2.47,NA,1693433513
151,pokhara,28.2333,83.9833,21.46,86,46,2.11,NP,1693433514
152,antofagasta,-23.65,-70.4,17.15,76,41,3.75,CL,1693433514
153,ghaziabad,28.6667,77.4333,29.08,61,0,0.89,IN,1693433222
154,san-pedro,4.7485,-6.6363,23.65,93,74,2.18,CI,1693433514
155,udachny,66.4167,112.4,10.25,100,100,14.15,RU,1693433514
156,ancud,-41.8697,-73.8203,8.12,70,100,6.3,CL,1693432961
157,tamandare,-8.7597,-35.1047,24.39,82,4,3.26,BR,1693433514
158,soio,-6.1349,12.3689,22.17,94,38,2.64,AO,1693433515
159,sitka,57.0531,-135.33,15.94,77,100,2.06,US,1693433515
160,gizo,-8.103,156.8419,26.3,80,99,7.81,SB,1693433515
161,breves,-1.6822,-50.4803,29.1,52,23,1.89,BR,1693433515
162,katima mulilo,-17.5,24.2667,14.45,43,0,2.57,NA,1693433515
163,port mathurin,-19.6833,63.4167,22.1,71,51,3.62,MU,1693433515
164,capilla del monte,-30.8609,-64.5251,16.82,41,1,0.72,AR,1693433515
165,forster,-32.1667,152.5167,16.32,83,74,2.67,AU,1693433516
166,lent'ekhi,42.7856,42.7261,18.61,86,2,2.52,GE,1693433516
167,nouzonville,49.8137,4.7474,12.75,89,54,1.41,FR,1693433516
168,sao joao da barra,-21.6403,-41.0511,23.05,93,29,3.85,BR,1693433467
169,atafu village,-8.5421,-172.5159,28.86,74,54,6.95,TK,1693433516
170,geraldton,-28.7667,114.6,15.23,55,0,4.12,AU,1693433516
171,hithadhoo,-0.6,73.0833,27.58,73,99,1.81,MV,1693433517
172,thivai,38.325,23.3189,26.07,51,2,3.84,GR,1693433517
173,tamiahua,21.2667,-97.45,31.43,62,1,3.67,MX,1693433517
174,sandnessjoen,66.0217,12.6316,12.29,82,58,3.05,NO,1693433517
175,bredasdorp,-34.5322,20.0403,13.1,96,81,1.74,ZA,1693433517
176,beyneu,45.3167,55.2,17.92,46,0,5.67,KZ,1693433517
177,swakopmund,-22.6833,14.5333,13.47,87,11,0.45,NA,1693432961
178,west island,-12.1568,96.8225,25.99,83,75,5.66,CC,1693433518
179,mafra,-26.1114,-49.8053,13.86,79,2,1.38,BR,1693433511
180,badger,64.8,-147.5333,13.93,88,100,2.57,US,1693433518
181,howard springs,-12.497,131.047,19.95,81,61,1.7,AU,1693433518
182,kodiak,57.79,-152.4072,12.73,94,100,3.09,US,1693433518
183,arraial do cabo,-22.9661,-42.0278,21.92,83,40,7.2,BR,1693433518
184,okhotsk,59.3833,143.3,15.84,87,34,1.47,RU,1693433518
185,kuala terengganu,5.3302,103.1408,25.65,87,100,2.28,MY,1693433519
186,garoowe,8.4054,48.4845,25.84,56,65,11.62,SO,1693433519
187,touros,-5.1989,-35.4608,24.94,80,0,6.11,BR,1693432939
188,man,7.4125,-7.5538,21.9,98,89,0.73,CI,1693433519
189,tsukawaki,33.2667,131.15,24.28,97,69,1.6,JP,1693433519
190,bamboo flat,11.7,92.7167,27.07,85,99,6.1,IN,1693433519
191,garissa,-0.4536,39.6401,23.62,76,10,8.01,KE,1693433268
192,nikolayevsk-on-amure,53.1406,140.73,15.58,78,100,1.45,RU,1693433350
193,faya-largeau,17.9257,19.1043,36.79,23,45,3.19,TD,1693433520
194,choibalsan,48.0667,114.5,10.54,60,0,3.75,MN,1693433520
195,lewistown,40.5992,-77.5714,24.58,77,20,5.14,US,1693433520
196,ouesso,1.6136,16.0517,23.67,76,100,0.54,CG,1693432964
197,kudahuvadhoo,2.6708,72.8944,27.93,68,100,3.44,MV,1693433520
198,sinan,34.8262,126.1086,23.39,81,98,4.88,KR,1693433520
199,la ronge,55.1001,-105.2842,28.14,42,40,4.12,CA,1693433521
200,new milford,40.9327,-74.0179,28.94,54,0,5.66,US,1693433521
201,san pedro,14.35,121.0167,24.57,96,100,6.17,PH,1693433434
202,illizi,26.4833,8.4667,34.89,28,18,1.46,DZ,1693433521
203,male,4.1748,73.5089,25.97,94,75,9.26,MV,1693433521
204,gadzhiyevo,69.2551,33.3362,11.31,85,13,3.31,RU,1693433521
205,robit,12.0167,39.6333,20.29,76,73,2.41,ET,1693433521
206,la'ie,21.6477,-157.9253,31.98,72,12,3.13,US,1693433522
207,chamical,-30.36,-66.314,24.48,19,0,4.06,AR,1693433522
208,leava,-14.3,-178.1667,27.23,80,100,10.52,WF,1693433522
209,kingscliff,-28.2667,153.5667,18.76,94,90,1.03,AU,1693433522
210,deder,9.3167,41.45,13.66,82,51,3.85,ET,1693433522
211,saipan,15.1355,145.701,27.39,94,75,0.0,MP,1693432942
212,alice springs,-23.7,133.8833,6.75,70,0,1.03,AU,1693433523
213,ponta delgada,37.7333,-25.6667,23.4,78,40,2.57,PT,1693433523
214,shimoda,34.6667,138.95,28.39,82,100,1.64,JP,1693433524
215,san mariano,7.5,126.0,23.17,87,8,1.39,PH,1693433524
216,toliara,-23.35,43.6667,21.17,54,2,4.42,MG,1693433524
217,uturoa,-16.7333,-151.4333,24.43,74,89,6.42,PF,1693433524
218,nova sintra,14.8667,-24.7167,23.49,82,100,1.93,CV,1693433525
219,sumbawa besar,-8.5,117.4333,19.29,87,16,2.43,ID,1693433525
220,naze,28.3667,129.4833,25.51,87,7,5.24,JP,1693432956
221,hammerfest,70.6634,23.6821,10.25,93,40,0.0,NO,1693433525
222,chilecito,-29.1619,-67.4974,23.73,11,0,6.12,AR,1693433525
223,uchiza,-8.4592,-76.4633,29.89,50,73,0.69,PE,1693433526
224,letterkenny,54.95,-7.7333,9.97,95,100,1.08,IE,1693433526
225,meadow lake,34.8014,-106.5436,34.11,24,0,2.24,US,1693433526
226,namibe,-15.1961,12.1522,19.9,84,97,3.32,AO,1693433526
227,puerto del rosario,28.5004,-13.8627,23.86,69,20,7.2,ES,1693433526
228,buka,40.8108,69.1986,19.43,65,99,3.07,UZ,1693433527
229,mirny,62.5353,113.9611,15.69,77,100,5.81,RU,1693433527
230,kapa'a,22.0752,-159.319,31.18,75,75,6.69,US,1693433527
231,madang,-5.2246,145.7966,25.41,91,93,0.94,PG,1693433527
232,nagqu,31.5,92.0,2.83,90,97,0.96,CN,1693433528
233,kolonia,50.9333,6.95,13.87,87,20,1.03,DE,1693433528
234,ulanhot,46.0833,122.0833,13.96,91,100,1.74,CN,1693433528
235,vega de alatorre,20.0333,-96.6333,31.12,64,2,4.34,MX,1693433529
236,barra de santo antonio,-9.4047,-35.5072,23.6,84,5,3.59,BR,1693433529
237,jayapura,-2.5333,140.7,25.66,90,72,2.11,ID,1693432756
238,pisco,-13.7,-76.2167,22.03,68,2,9.77,PE,1693432937
239,xudat,41.631,48.681,19.23,74,0,2.11,AZ,1693433530
240,vila do maio,15.1333,-23.2167,27.44,85,100,8.53,CV,1693433530
241,muswellbrook,-32.2667,150.9,10.74,89,60,1.38,AU,1693433530
242,saint-joseph,-21.3667,55.6167,18.04,77,90,5.13,RE,1693433531
243,ayancik,41.9447,34.5861,25.76,58,0,1.41,TR,1693433531
244,loja,-3.9931,-79.2042,24.69,29,0,8.05,EC,1693433531
245,saldanha,-33.0117,17.9442,14.03,94,76,3.77,ZA,1693433531
246,hamilton,39.1834,-84.5333,23.47,62,20,5.66,US,1693433480
247,selkirk,50.1436,-96.8845,29.49,23,0,5.26,CA,1693432749
248,melilla,35.2937,-2.9383,25.21,61,0,3.09,ES,1693433273
249,panaba,21.2833,-88.2667,30.75,63,92,3.53,MX,1693433532
250,sanctuary point,-35.1114,150.629,17.08,89,92,2.54,AU,1693433532
251,chanika,-5.4167,38.0167,19.45,82,69,2.82,TZ,1693433532
252,nuuk,64.1835,-51.7216,5.34,87,75,3.09,GL,1693433532
253,tazovsky,67.4667,78.7,4.3,75,38,3.35,RU,1693433533
254,aripuana,-9.1667,-60.6333,29.68,52,59,0.99,BR,1693433533
255,biala podlaska,52.0324,23.1165,16.1,96,100,2.04,PL,1693433533
256,vilhena,-12.7406,-60.1458,22.03,90,98,1.81,BR,1693433532
257,ovalle,-30.5983,-71.2003,23.02,30,0,2.0,CL,1693433353
258,sungai penuh,-2.0833,101.3833,18.74,98,96,0.11,ID,1693433534
259,dakhla,23.6848,-15.958,21.02,85,80,8.27,EH,1693433534
260,polovinnoye,54.7914,65.9864,9.3,91,99,3.22,RU,1693433534
261,ust-nera,64.5667,143.2,14.59,93,100,4.88,RU,1693433534
262,gondia,21.45,80.2,22.78,87,14,1.29,IN,1693433534
263,buncrana,55.1333,-7.45,10.44,93,100,2.04,IE,1693433535
264,antsiranana,-12.2787,49.2917,22.18,77,1,7.69,MG,1693432954
265,mana,5.6592,-53.7767,27.29,82,5,3.32,GF,1693432956
266,halifax,44.6453,-63.5724,22.49,98,100,7.2,CA,1693433418
267,jamestown,42.097,-79.2353,17.77,90,100,3.6,US,1693433525
268,igarka,67.4667,86.5833,3.54,91,35,4.09,RU,1693433535
269,nizhniy kuranakh,58.8353,125.4869,15.38,78,0,1.0,RU,1693433536
270,ludus,46.4833,24.1,15.24,86,25,0.93,RO,1693433536
271,gojo,34.35,135.7,27.53,87,100,1.53,JP,1693433536
272,hadibu,12.65,54.0333,26.08,81,20,7.93,YE,1693433536
273,tsiombe,-25.3,45.4833,18.6,77,2,5.85,MG,1693433537
274,clinton,42.587,-82.9199,21.03,72,75,3.6,US,1693433305
275,cassilandia,-19.1133,-51.7342,28.31,43,76,0.99,BR,1693433537
276,horta,38.5333,-28.6333,23.34,88,44,2.24,PT,1693432952
277,west bay,19.3667,-81.4167,32.25,78,20,4.12,KY,1693433425
278,susuman,62.7833,148.1667,16.39,60,100,9.54,RU,1693432939
279,wauchope,-31.45,152.7333,16.65,76,85,1.16,AU,1693433538
280,freetown,8.484,-13.2299,26.84,83,40,2.57,SL,1693433538
281,barra dos coqueiros,-10.9089,-37.0386,26.01,78,0,3.09,BR,1693433326
282,kas,36.2018,29.6377,25.08,60,9,2.94,TR,1693433538
283,mammoth lakes,37.6485,-118.9721,27.4,11,0,4.63,US,1693433538
284,santa cruz,-17.8,-63.1667,33.82,27,0,6.57,BO,1693433539
285,nantucket,41.2835,-70.0995,23.41,99,100,4.63,US,1693433539
286,shingu,33.7333,135.9833,25.67,89,100,1.25,JP,1693433539
287,kruhlaye,54.2466,29.7957,20.12,75,64,2.89,BY,1693433540
288,axim,4.8699,-2.2405,24.35,93,84,3.18,GH,1693433540
289,lospalos,-8.5186,127.0025,18.93,77,98,2.75,TL,1693433540
290,itoman,26.1247,127.6694,29.01,84,75,4.12,JP,1693433540
291,oriximina,-1.7656,-55.8661,31.68,40,0,1.8,BR,1693433263
292,prairie du chien,43.0517,-91.1412,26.05,27,0,2.06,US,1693433540
293,guangming,45.3333,122.7833,14.54,91,100,2.42,CN,1693433541
294,hun,29.1268,15.9477,30.91,31,71,2.48,LY,1693433541
295,puerto colombia,10.9878,-74.9547,32.05,74,52,7.32,CO,1693433541
296,saint-pierre,-21.3393,55.4781,18.65,77,82,5.1,RE,1693433541
297,bubaque,11.2833,-15.8333,27.12,82,91,5.23,GW,1693433542
298,enewetak,11.3474,162.3373,28.73,76,99,5.48,MH,1693433542
299,tazacorte,28.629,-17.9293,24.54,73,40,4.63,ES,1693433543
300,nar'yan-mar,67.6713,53.087,7.58,87,42,3.25,RU,1693433543
301,sechura,-5.5569,-80.8222,25.01,60,2,8.14,PE,1693433543
302,renfrew,55.872,-4.3925,11.93,88,97,3.09,GB,1693433543
303,constitucion,-35.3333,-72.4167,11.73,71,21,6.34,CL,1693433543
304,semenov,56.7875,44.493,10.05,85,11,2.07,RU,1693433543
305,mainit,9.535,125.5231,27.01,83,93,2.61,PH,1693433544
306,shahba,32.8551,36.629,21.93,44,0,2.98,SY,1693433544
307,adrar,20.5022,-10.0711,34.61,31,14,2.8,MR,1693433544
308,kalianget,-7.05,113.9333,25.3,80,98,6.07,ID,1693433545
309,lunglei,22.8833,92.7333,19.94,99,95,0.93,IN,1693433545
310,laguna,38.421,-121.4238,37.94,23,0,3.6,US,1693433545
311,kharp,66.8014,65.8081,10.44,77,95,3.81,RU,1693433545
312,puerto leguizamo,-0.1934,-74.7819,28.04,68,96,0.65,CO,1693433546
313,adigrat,14.277,39.462,15.49,74,53,0.97,ET,1693433546
314,daru,-9.0763,143.2092,24.55,67,33,4.73,PG,1693433546
